postcode,message
BD981GA,No coordinates found for postcode
BD981GB,No coordinates found for postcode
BD981GD,No coordinates found for postcode
BD981GG,No coordinates found for postcode
BD981YA,No coordinates found for postcode
BD981YB,No coordinates found for postcode
BD981YD,No coordinates found for postcode
BD981YY,No coordinates found for postcode
BD985GA,No coordinates found for postcode
BD985GG,No coordinates found for postcode
BD985YA,No coordinates found for postcode
BD985YY,No coordinates found for postcode
BN919AA,No coordinates found for postcode
CO151QX,No constituency found for postcode
EN771AA,No coordinates found for postcode
EN771AB,No coordinates found for postcode
EN771AD,No coordinates found for postcode
EN771AE,No coordinates found for postcode
EN771AN,No coordinates found for postcode
EN771AS,No coordinates found for postcode
EN771AU,No coordinates found for postcode
EN771AW,No coordinates found for postcode
EN771AZ,No coordinates found for postcode
EN771BA,No coordinates found for postcode
EN771BD,No coordinates found for postcode
EN771BE,No coordinates found for postcode
EN771DL,No coordinates found for postcode
EN771ES,No coordinates found for postcode
EN771EW,No coordinates found for postcode
EN771FF,No coordinates found for postcode
EN771FN,No coordinates found for postcode
EN771FP,No coordinates found for postcode
EN771HQ,No coordinates found for postcode
EN771JL,No coordinates found for postcode
EN771LD,No coordinates found for postcode
EN771LG,No coordinates found for postcode
EN771LJ,No coordinates found for postcode
EN771LL,No coordinates found for postcode
EN771LX,No coordinates found for postcode
EN771NF,No coordinates found for postcode
EN771NS,No coordinates found for postcode
EN771NT,No coordinates found for postcode
EN771NU,No coordinates found for postcode
EN771NW,No coordinates found for postcode
EN771PH,No coordinates found for postcode
EN771PS,No coordinates found for postcode
EN771QA,No coordinates found for postcode
EN771RB,No coordinates found for postcode
EN771RG,No coordinates found for postcode
EN771RP,No coordinates found for postcode
EN771RS,No coordinates found for postcode
EN771RZ,No coordinates found for postcode
EN771SA,No coordinates found for postcode
EN771SE,No coordinates found for postcode
EN771SF,No coordinates found for postcode
EN771SP,No coordinates found for postcode
EN771SR,No coordinates found for postcode
EN771SW,No coordinates found for postcode
EN771SZ,No coordinates found for postcode
EN771TA,No coordinates found for postcode
EN771TE,No coordinates found for postcode
EN771TF,No coordinates found for postcode
EN771TG,No coordinates found for postcode
EN771TJ,No coordinates found for postcode
EN771TQ,No coordinates found for postcode
EN771TS,No coordinates found for postcode
EN771TW,No coordinates found for postcode
EN771TX,No coordinates found for postcode
EN771UA,No coordinates found for postcode
EN771UB,No coordinates found for postcode
EN771UF,No coordinates found for postcode
EN771WB,No coordinates found for postcode
EN771XY,No coordinates found for postcode
EN771YL,No coordinates found for postcode
EN771ZA,No coordinates found for postcode
GIR 0AA,No coordinates found for postcode
